,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,17149,13376,18145,17790,20677,17427.4
1,ProductCD,723,783,1158,1084,1141,977.8
2,card1,20186,15314,20840,21162,23960,20292.4
3,card2,13845,11365,16248,16823,19111,15478.4
4,card3,516,551,948,1337,1804,1031.2
5,card4,756,976,1665,1913,2279,1517.8
6,card5,4100,3543,5410,5786,6644,5096.6
7,card6,923,1060,1278,1386,1523,1234.0
8,addr1,15876,11251,15589,16077,18175,15393.6
9,addr2,261,191,241,272,333,259.6
10,dist1,9434,7267,10370,10374,12006,9890.2
11,P_emaildomain,4592,3658,5286,5733,6706,5195.0
12,R_emaildomain,2221,2329,3240,3440,3873,3020.6
13,C1,3145,3242,4730,5210,6338,4533.0
14,C2,2730,2767,4378,4661,5587,4024.6
15,C4,425,437,663,693,880,619.6
16,C5,1234,1016,1562,1796,2390,1599.6
17,C6,2867,2470,3796,4130,5092,3671.0
18,C7,207,255,394,469,490,363.0
19,C8,643,576,843,928,1340,866.0
20,C9,2102,1991,2943,3324,3948,2861.6
21,C10,517,557,941,1044,1349,881.6
22,C11,2351,2125,3299,3849,4852,3295.2
23,C12,452,496,843,1123,1542,891.2
24,C13,6362,5754,8091,8676,10150,7806.6
25,C14,2706,2383,3893,4439,5314,3747.0
26,D1,6187,4863,7030,8137,9748,7193.0
27,D2,8129,6609,8876,9349,10470,8686.6
28,D3,5802,3452,4358,4040,4780,4486.4
29,D4,8952,7368,10280,11018,12359,9995.4
30,D5,4965,3411,4550,4149,4678,4350.6
31,D6,966,815,1479,1584,1886,1346.0
32,D8,5189,3900,5289,5526,6405,5261.8
33,D9,3001,2111,2584,2513,2712,2584.2
34,D10,8261,6231,8940,9162,10197,8558.2
35,D11,4365,3000,4192,5708,7228,4898.6
36,D12,818,763,1337,1451,1773,1228.4
37,D13,437,435,768,974,1332,789.2
38,D14,1005,993,1503,1558,2024,1416.6
39,D15,9989,8477,12192,13259,14664,11716.2
40,M2,401,330,461,550,738,496.0
41,M3,713,609,824,945,1149,848.0
42,M4,1713,1447,2190,2386,2829,2113.0
43,M5,1315,1316,1947,2076,2407,1812.2
44,M6,1336,1332,2105,2325,2556,1930.8
45,M7,448,446,679,673,988,646.8
46,M8,445,409,563,660,977,610.8
47,M9,260,272,579,745,1081,587.4
48,V3,148,157,277,376,480,287.6
49,V4,378,364,456,676,866,548.0
50,V5,561,392,697,920,1095,733.0
51,V6,72,79,132,289,374,189.2
52,V7,239,243,341,410,513,349.2
53,V8,8,18,83,94,167,74.0
54,V9,79,39,82,115,184,99.8
55,V10,303,208,270,321,495,319.4
56,V11,307,209,299,400,513,345.6
57,V12,363,430,826,990,1275,776.8
58,V13,829,712,1159,1098,1317,1023.0
59,V17,86,69,130,96,122,100.6
60,V19,672,561,951,1037,1228,889.8
61,V20,894,755,1174,1182,1479,1096.8
62,V29,306,190,324,398,606,364.8
63,V30,400,297,381,492,644,442.8
64,V33,137,79,189,235,288,185.6
65,V34,140,124,252,319,401,247.2
66,V35,612,704,1128,1356,1562,1072.4
67,V36,604,668,1192,1305,1468,1047.4
68,V37,567,517,732,721,885,684.4
69,V38,767,704,1311,1361,1554,1139.4
70,V40,242,204,334,387,475,328.4
71,V44,419,538,831,925,1133,769.2
72,V45,640,705,1213,1377,1648,1116.6
73,V46,70,117,258,193,249,177.4
74,V47,392,335,503,535,572,467.4
75,V48,531,401,619,627,764,588.4
76,V49,507,429,695,783,941,671.0
77,V51,155,98,230,335,408,245.2
78,V52,254,244,413,508,587,401.2
79,V53,629,676,1160,1381,1542,1077.6
80,V54,662,797,1271,1436,1591,1151.4
81,V56,349,447,741,778,1030,669.0
82,V58,190,101,211,251,339,218.4
83,V59,50,68,127,157,190,118.4
84,V60,98,74,136,180,262,150.0
85,V61,529,646,1203,1360,1622,1072.0
86,V62,824,820,1517,1652,1933,1349.2
87,V63,92,97,152,172,186,139.8
88,V64,103,160,198,208,306,195.0
89,V69,271,277,371,438,599,391.2
90,V70,367,377,543,555,714,511.2
91,V71,64,50,110,118,165,101.4
92,V72,106,60,151,243,255,163.0
93,V73,86,64,206,272,308,187.2
94,V74,261,222,345,529,617,394.8
95,V75,832,782,1239,1515,1795,1232.6
96,V76,949,920,1353,1385,1857,1292.8
97,V78,763,777,1186,1298,1671,1139.0
98,V80,151,102,128,179,213,154.6
99,V81,187,125,186,330,428,251.2
100,V82,624,681,1345,1510,1862,1204.4
101,V83,1034,910,1638,1801,2160,1508.6
102,V84,43,38,88,113,109,78.2
103,V85,167,102,160,226,292,189.4
104,V87,879,795,1382,1573,1913,1308.4
105,V90,535,381,607,625,772,584.0
106,V91,470,359,580,634,867,582.0
107,V92,84,90,128,105,121,105.6
108,V93,129,107,195,237,271,187.8
109,V94,82,52,144,268,355,180.2
110,V95,86,81,142,158,217,136.8
111,V96,746,588,761,742,828,733.0
112,V97,147,145,202,254,282,206.0
113,V99,473,448,657,664,763,601.0
114,V100,62,86,115,151,145,111.8
115,V126,589,522,787,899,1035,766.4
116,V127,1876,1428,2066,1868,2113,1870.2
117,V128,845,704,1067,1125,1279,1004.0
118,V130,1652,1595,2102,2005,2285,1927.8
119,V131,622,770,1041,1155,1356,988.8
120,V138,8,15,13,14,18,13.6
121,V139,489,261,434,513,551,449.6
122,V140,230,242,259,313,357,280.2
